Q15,Q16,Q17,Q43,Q44,Q45
2,2,2,2,2,2
1,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,1,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
1,2,1,2,2,2
1,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,1,2,2,2
1,1,1,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
1,1,2,2,2,2
2,2,2,2,2,2
2,2,1,2,2,2
2,2,2,2,2,2
2,2,2,1,2,1
2,2,2,2,2,2
2,2,2,2,2,2
1,1,1,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
1,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
1,1,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
1,1,1,1,1,1
2,2,2,2,2,2
2,2,2,2,2,2
1,1,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
1,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,1,2,2
2,2,2,2,2,2
1,1,2,1,1,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,1,1
2,2,2,2,2,1
2,2,2,2,1,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
1,2,2,1,2,2
2,2,2,2,2,2
2,2,1,2,2,2
1,1,1,1,1,1
1,2,1,1,2,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,1,2,1
2,2,2,2,2,2
2,2,2,1,1,1
2,2,2,2,2,2
2,2,2,2,2,2
1,1,1,1,1,1
2,2,2,2,2,1
2,2,2,2,2,2
1,1,1,1,1,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
1,1,1,1,1,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
1,1,1,2,1,1
2,2,2,2,2,2
1,1,1,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,1,1,1,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,1,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
1,1,1,1,1,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
1,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,1,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,1,1,1
2,2,2,2,2,2
2,2,2,2,2,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
1,1,1,1,1,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,1,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,1,1,1
2,2,2,2,2,2
2,2,2,2,2,2
1,1,1,1,1,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
1,2,1,1,1,1
1,1,1,1,1,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,1,1
1,1,1,1,1,1
2,2,2,1,2,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,1,1,2,2,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,1,1,1
2,2,2,2,2,2
2,2,2,1,2,2
2,2,1,2,2,2
1,1,1,2,2,1
1,1,1,1,1,1
2,1,1,2,2,2
2,1,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,1,2,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,1,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
1,1,1,1,1,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
